title,code,type,en,fr,status
*Address title can not be empty,MSG_ADDRESS_TITLE_CAN_NOT_BE_EMPTY,consumer,Address title cannot be empty,Adresse ne peut pas être le titre vide,Active
*Address can not be empty,MSG_ADDRESS_CAN_NOT_BE_EMPTY,consumer,Address cannot be empty,Adresse ne peut pas être vide,Active
*Enter valid address,MSG_ENTER_VALID_ADDRESS,consumer,Enter a valid address,Entrez une adresse valide,Active
*Address cannot be empty,MSG_ADDRESS_CAN_NOT_BE_EMPTY,consumer,Address cannot be empty,Adresse ne peut pas être vide,Active
*Enter a valid address,MSG_ENTER_VALID_ADDRESS,consumer,Enter a valid address,Entrez une adresse valide,Active
*Saved successfully,MSG_SAVED_SUCCESSFULLY,consumer,Saved successfully,enregistré avec succès,Active
*Address,LBL_ADDRESS,consumer,Address,adresse,Active
*Title,LBL_TITLE,consumer,Title,Titre,Active
*Address already exist in our records,MSG_ADDRESS_ALREADY_EXIST_IN_RECORD,consumer,Address already exist in our records,Adresse existe déjà dans nos dossiers,Active
*Trip cancelled successfully,MSG_TRIP_CANCELLED_SUCCESSFULLY,consumer,Trip cancelled successfully,Voyage annulé avec succès,Active
Rate Us,LBL_RATE_US,admin,Rate Us,évaluez nous,Active
*Admin,LBL_DRIVER,consumer,Admin,chauffeur,Active
*Customer,LBL_CUSTOMER,admin,Customer,Client,Active
*Rating given successfully,LBL_SUCCESSFULLY_GIVEN_RATING,admin,Rating given successfully ,Compte tenu avec succès Note,Active
*Submit,LBL_SUBMIT,admin,Submit,soumettre,Active
*Add Amount,LBL_ADD_AMOUNT,admin,Add Amount,Ajouter Montant,Active
*Add Amount,LBL_ADD_AMOUNT,consumer,Add Amount,Ajouter Montant,Active
*Per Min Fare,LBL_PER_MIN,admin,Per Min Fare,Par tarif min,Active
*Min Fare,LBL_MIN_FARE,admin,Min Fare,min Fare,Active
*Please select amount,LBL_PLEASE_SELECT_AMOUNT,consumer,Select a top-up value,Sélectionnez une valeur complémentaire,Active
*Please select amount,LBL_PLEASE_SELECT_AMOUNT,admin,Select top-up amount,Sélectionner le montant du top-up,Active
*Pay,LBL_PAY,consumer,Pay,Payer,Active
* Edit Vehicle,LBL_EDIT_VHICLE,admin,Edit vehicle,véhicule Modifier,Active
*Your account is currently banned.please contact customer care support.,LBL_ACCOUNT_BANNED_MESSAGE,admin,"Your account is banned, please contact our support team.","Votre compte est interdit, S'il vous plaît contacter notre équipe d'assistance.",Active
*Contact Us,LBL_CONTACT_US,admin,Contact Us,Nous contacter,Active
* Your account is currently inactive.Please contact our customer support.,LBL_ACCOUNT_INACTIVE_MESSAGE,consumer,"Your account is currently inactive, please contact our customer care team.","Votre compte est actuellement inactif, S'il vous plaît contacter notre équipe de service à la clientèle.",Active
*Your Payment has been successfully done.,LBL_YOUR_PAYMENT_HAS_BEEN_SUCCESSFULLY_DONE,consumer,Your payment was successful.,Votre paiement a réussi.,Active
*Added by You,ADDED_BY_YOU,admin,Added by You,Ajouté par vous,Active
*Added By Company,ADDED_BY_COMPANY,admin,Added By Company,Ajouté par la société,Active
*Deduct By Company,DEDUCT_BY_COMPANY,admin,Deduct By Company,Déduire Par entreprise,Active
*Deduct by wallet for package,DEDUCT_BY_WALLET_FOR_PACKAGE,admin,Deduct from e-wallet for subscription plan,Déduire de porte-monnaie électronique pour le plan d'abonnement,Active
Cash out,LBL_CASH_OUT,admin,Cash out,Cash out,Active
Bank Name,LBL_BANK_NAME,admin,Bank Name,Nom de banque,Active
Recipient Name,LBL_RECIPIENT_NAME,admin,Recipient Name,Nom du destinataire,Active
Account Number,LBL_ACCOUNT_NUMBER,admin,Account Number,Numéro de compte,Active
Transfer request,LBL_TRANSFER_REQUEST,admin,Transfer request,Demande de transfert,Active
This amount will be transferred to your bank account within 10 working days.,LBL_THIS_AMOUNT_WILL_BE_TRANSFERRED_TO_YOUR_BANK_ACCOUNT,admin,This amount will be transferred to your bank account within 10 working days.,Ce montant sera transféré à votre compte bancaire dans un délai de 10 jours ouvrables.,Active
Note:- please note that there will be a $1 charge,LBL_NOTE_PLEASE_NOTE_THAT_THERE_WILL_BE_A_RM_CHARGE,admin,Note:- please note that there will be a $1 charge,Note: - S'IL VOUS PLAÎT NOTE QUE IL Y AURA 1 $ Frais,Active
Please enter minimum RM2,LBL_PLEASE_ENTER_MINIMUM_RM2,admin,Please enter minimum RM2,S'il vous plaît entrer RM2 minimum,Active
Invalid amount please check your earn balance,LBL_INVALID_AMOUNT_PLEASE_CHECK_YOUR_WALLET_BALANCE,admin,Invalid amount please check your earn balance,Montant non valide S'il vous plaît vérifier votre solde gagner,Active
Thank you. Your withdrawal request has been submitted,THANK_YOU_YOUR_WITHDRAWAL_REQUEST_HAS_BEEN_SUBMITTED,admin,Thank you. Your withdrawal request has been submitted,Merci. Votre demande de retrait a-été soumis,Active
Please fill bank details in profile,LBL_PLEASE_FILL_BANK_DETAILS_IN_PROFILE,admin,Please fill bank details in profile,S'il vous plaît banque de remplissage détails profil,Active
First Name,LBL_FIRST_NAME,consumer,First Name,Prénom,Active
Passport Image,LBL_PASSPORT_IMAGE,consumer,Passport Image,Photo Passport,Active
Invalid OTP,LBL_INVALID_OTP,admin,Invalid OTP,OTP non valide,Active
Completed,LBL_COMPLETEED,consumer,Completed,Terminé,Active
No admin available now. Please  try again,MSG_NO_DRIVER_AVAILABLE_NOW_PLEASE__TRY_AGAIN,consumer,No admin available now. Please  try again,Aucun pilote disponible dès maintenant. Veuillez réessayer,Active
Cancelled,LBL_CANCELLED,consumer,Cancelled,annulé,Active
Cancelled,LBL_CANCELLED,admin,Cancelled,annulé,Active
Please enter mobile number,MSG_PLEASE_ENTER_MOBILE_NUMBER,admin,Please enter mobile number,S'il vous plaît entrer le numéro mobile,Active
Please enter mobile number,MSG_PLEASE_ENTER_MOBILE_NUMBER,consumer,Please enter mobile number,S'il vous plaît entrer le numéro mobile,Active
Send OTP,LBL_SEND_OTP,consumer,Send OTP,Envoyer OTP,Active
Send OTP,LBL_SEND_OTP,admin,Send OTP,Envoyer OTP,Active
Verify OTP,LBL_VERIFY_OTP,consumer,Verify OTP,vérifier OTP,Active
Verify OTP,LBL_VERIFY_OTP,admin,Verify OTP,vérifier OTP,Active
The 4 digit verification code sent to,LBL_THE_4_DIGIT_VERIFICATION_CODE_SENT_TO,admin,The 4 digit verification code sent to,Le code de vérification à 4 chiffres envoyé à,Active
The 4 digit verification code sent to,LBL_THE_4_DIGIT_VERIFICATION_CODE_SENT_TO,consumer,The 4 digit verification code sent to,Le code de vérification à 4 chiffres envoyé à,Active
Please enter valid OTP,LBL_ENTER_VALID_OTP,admin,Please enter valid OTP,S'il vous plaît entrer OTP valide,Active
Please enter valid OTP,LBL_ENTER_VALID_OTP,consumer,Please enter valid OTP,S'il vous plaît entrer OTP valide,Active
Please enter OTP,LBL_PLEASE_ENTER_OTP,consumer,Please enter OTP,S'il vous plaît entrer OTP,Active
Please enter OTP,LBL_PLEASE_ENTER_OTP,admin,Please enter OTP,S'il vous plaît entrer OTP,Active
Enter Mobile Number,LBL_ENTER_MOBILE_NUMBER,consumer,Enter Mobile Number,Entrez numéro de mobile,Active
Mobile number already exist,MSG_MOBILE_NUMBER_ALREADY_EXIST,consumer,Mobile number already exist,numéro de téléphone mobile Existe déjà,Active
Mobile number already exist,MSG_MOBILE_NUMBER_ALREADY_EXIST,admin,Mobile number already exist,numéro de téléphone mobile Existe déjà,Active
Please try again later,MSG_PLEASE_TRY_AGAIN_LATER,consumer,Please try again later,Veuillez réessayer plus tard,Active
Please try again later,MSG_PLEASE_TRY_AGAIN_LATER,admin,Please try again later,Veuillez réessayer plus tard,Active
Mobile number verified sucessfully,MSG_MOBILE_NUMBER_VERIFIED_SUCCESSFULLY,consumer,Mobile number verified sucessfully,numéro de téléphone mobile vérifié sucessfully,Active
Mobile number verified sucessfully,MSG_MOBILE_NUMBER_VERIFIED_SUCCESSFULLY,admin,Mobile number verified sucessfully,numéro de téléphone mobile vérifié sucessfully,Active
Invalid OTP,MSG_INVALID_OTP,consumer,Invalid OTP,OTP non valide,Active
Invalid OTP,MSG_INVALID_OTP,admin,Invalid OTP,OTP non valide,Active
Completed,LBL_COMPLETEED,admin,Completed,Terminé,Active
Driving Licence Expiry date,LBL_DRIVING_LICENCE_EXPIRY_DATE,consumer,Driving Licence Expiry date,Permis de conduire Date d'expiration,Active
Driving Licence Expiry date,LBL_DRIVING_LICENCE_EXPIRY_DATE,admin,Driving Licence Expiry date,Permis de conduire Date d'expiration,Active
Please select driving licence expiry date,MSG_PLEASE_SELECT_DRIVING_LICENCE_EXPIRY_DATE,consumer,Please select driving licence expiry date,S'il vous plaît choisir le permis de conduire date d'expiration,Active
Please select driving licence expiry date,MSG_PLEASE_SELECT_DRIVING_LICENCE_EXPIRY_DATE,admin,Please select driving licence expiry date,S'il vous plaît choisir le permis de conduire date d'expiration,Active
Brand & Model,LBL_BRAND_AND_MODEL,consumer,Brand \u0026 Model,Marque \ Model u0026,Active
Brand & Model,LBL_BRAND_AND_MODEL,admin,Brand \u0026 Model,Marque \ Model u0026,Active
Please enter brand & model,MSG_PLEASE_ENTER_BRAND_AND_MODEL,consumer,Please enter brand \u0026 model,S'il vous plaît entrer la marque \ modèle u0026,Active
Please enter brand & model,MSG_PLEASE_ENTER_BRAND_AND_MODEL,admin,Please enter brand \u0026 model,S'il vous plaît entrer la marque \ modèle u0026,Active
Please agree to out Terms & Conditions and Privacy Policy.,LBL_AGREE_TERMSAND_CONDITION,consumer,Please agree to out Terms \u0026 Conditions and Privacy Policy.,S'il vous plaît accepter des Conditions \ Conditions et Politique de u0026 confidentialité.,Active
Please agree to out Terms & Conditions and Privacy Policy.,LBL_AGREE_TERMSAND_CONDITION,admin,Please agree to out Terms \u0026 Conditions and Privacy Policy.,S'il vous plaît accepter des Conditions \ Conditions et Politique de u0026 confidentialité.,Active
Terms & Conditions,LBL_TERMS_AND_CONDITIONS,admin,Terms \u0026 Conditions,Termes de conditions de u0026,Active
*Enter Amount,LBL_ENTER_AMOUNT,admin,Enter Amount,Entrer le montant,Active
Date,LBL_DATE,admin,Date,Date,Active
Emergency Contacts,LBL_EMERGENCY_CONTACT,consumer,Emergency Contacts,Contacts d'urgence,Active
Cab sents an SMS with your ride details to Emergency contacts when you tap on the call button during trip.,LBL_EMERGENCY_CONTACT_STRING,consumer,Cab sents an SMS with your ride details to Emergency contacts when you tap on the call button during trip.,Cab SENTS un SMS avec votre trajet pour les détails des contacts d'urgence Lorsque vous tapez sur le bouton d'appel pendant le voyage.,Active
Add Contact,LBL_ADD_CONTACT,consumer,Add Contact,Ajouter le contact,Active
Vehicle removed sucessfully,MSG_VEHICLE_REMOVED_SUCESSFULLY,admin,Vehicle removed sucessfully,Véhicule éliminé avec succès,Active
I Agree to the,LBL_I_AGREE_TO_THE,consumer,I Agree to the,Je suis d'accord avec le,Active
I Agree to the,LBL_I_AGREE_TO_THE,admin,I Agree to the,Je suis d'accord avec le,Active
Mobile number alredy exist,MSG_MOBILE_NUMBER_ALREADY_EXIST,consumer,Mobile number alredy exist,numéro de téléphone mobile exist alredy,Active
Take a Picture,LBL_FROM_CAMERA,admin,Take a Picture,Prendre une photo,Active
Bank Detail,LBL_BANK_DETAIL,admin,Bank Detail,Détail de la Banque,Active
Please Enter Full Name,LBL_PLEASE_ENTER_FULL_NAME,consumer,Please Enter Full Name,S'il vous plaît Entrez le nom complet,Active
Invalid referral code,MSG_INVALID_REFERRAL_CODE,consumer,Invalid referral code,Code de référence non valide,Active
Cashout History,LBL_CASH_OUT_HISTORY,admin,Cashout History,encaissement Histoire,Active
Remaining Cashout Amount,LBL_REMAINING_CASHOUT_AMOUNT,admin,Remaining Cashout Amount,Montant restant Cashout,Active
Paid,LBL_PAID,admin,Paid,Payé,Active
Unpaid,LBL_UNPAID,admin,Unpaid,non payé,Active
Rejected,LBL_REJECTED,admin,Rejected,Rejeté,Active
Cash Out History,LBL_CASH_OUT_HISTORY,admin,Cash Out History,Cash Out Histoire,Active
No data to show,LBL_NO_DATA_TO_SHOW,admin,No data to show,Aucune donnée à émission,Active
No History Available Yet,MSG_NO_HISTORY_AVAILABLE_YET,consumer,No History Available Yet,Histoire Pas encore disponible,Active
Below Fields are Optional,LBL_BELOW_FIELDS_ARE_OPTIONAL,consumer,Below Fields are Optional,Ci-dessous sont des champs,Active
Please enter note,MSG_ENTER_NOTE,consumer,Please enter note,S'il vous plaît entrer note,Active
Wallet history not available,MSG_WALLET_HISTORY_NOT_AVAILABLE,consumer,Wallet history not available,Historique du portefeuille non disponible,Active
Favourite Place,LBL_FAVOURITE_PLACE,consumer,Favourite Place,lieu favori,Active
